L(T-1),L(T-2),L(T-24),L(T-48),P(T-1),P(T-2),P(T-24),P(T-48),Day,Season,L(T)
10721.05,9051.63,9635.63,9684.78,4306.34,2848.82,5462.93,4707.95,0,2,9514.48
9514.48,10721.05,9375.2,8879.15,5775.28,4306.34,6050.46,5862.89,0,2,9327.73
9327.73,9514.48,9035.23,8517.5,6050.3,5775.28,5075.3,4800.15,0,2,8983.51
8983.51,9327.73,7931.85,7893.5,4171.29,6050.3,3555.41,4400.25,0,2,8428.08
8428.08,8983.51,7786.7,7660.15,3562.88,4171.29,3522.42,4082.75,0,2,7911.58
7911.58,8428.08,7023.23,6680.09,3222.77,3562.88,2789.25,2842.1,0,2,6647.23
6647.23,7911.58,7567.6,7445.63,2759.71,3222.77,2695.32,2777.14,0,2,7034.23
7034.23,6647.23,8970.23,8963.8,2570.99,2759.71,2791.85,2892.89,0,2,8499.05
8499.05,7034.23,9573.1,9627.79,2764.61,2570.99,2968.55,3440.83,0,2,9653.65
9653.65,8499.05,8872.9,8397.3,3095.8,2764.61,3385.14,3872.64,0,2,8419.56
8419.56,9653.65,9732.03,8733.35,3158.32,3095.8,4794.58,5284.01,0,2,9687
9687,8419.56,8989.43,8037.83,4943.48,3158.32,4845.45,4837.93,0,2,9412.98
9412.98,9687,7054.63,6595.18,5188.42,4943.48,3050.31,3607.81,0,2,8046.53
8046.53,9412.98,5604.45,5700.5,3430.11,5188.42,2589.59,2960.39,0,2,6127.13
6127.13,8046.53,4639.58,4321.55,2625.17,3430.11,2311.04,2597.95,0,2,4516.85
4516.85,6127.13,5131.65,3924.28,2224.57,2625.17,2346.19,2414.08,0,2,5014.48
5014.48,4516.85,5133.38,5568.7,2377.18,2224.57,2222.13,2340.83,0,2,4852.3
4852.3,5014.48,5662.85,5870.48,2364.83,2377.18,2093.85,2130.26,0,2,5604.75
5604.75,4852.3,5983.08,6069.95,2302.92,2364.83,1991.51,2019.66,0,2,5927.4
5927.4,5604.75,5937.38,6052.05,2121.73,2302.92,1876.99,1991.91,0,2,5908.8
5908.8,5927.4,5408.33,6200.2,2056.56,2121.73,1896.64,2112.31,0,2,5840.05
5840.05,5908.8,6008.8,6260.48,2208.29,2056.56,2249.5,2319.37,0,2,6103.33
6103.33,5840.05,9051.63,8786.19,2528.62,2208.29,2848.82,2802.53,0,2,8957.18
8957.18,6103.33,10721.05,10861.98,3066.69,2528.62,4306.34,4009.4,0,2,9838.38
9838.38,8957.18,9514.48,9635.63,3875.08,3066.69,5775.28,5462.93,0,2,8810.28
8810.28,9838.38,9327.73,9375.2,4990.4,3875.08,6050.3,6050.46,0,2,8059.01
8059.01,8810.28,8983.51,9035.23,4498.73,4990.4,4171.29,5075.3,0,2,7226.53
7226.53,8059.01,8428.08,7931.85,3618.37,4498.73,3562.88,3555.41,0,2,6976.35
6976.35,7226.53,7911.58,7786.7,3272.44,3618.37,3222.77,3522.42,0,2,6913.65
6913.65,6976.35,6647.23,7023.23,3269.7,3272.44,2759.71,2789.25,0,2,6109.95
6109.95,6913.65,7034.23,7567.6,2801.95,3269.7,2570.99,2695.32,0,2,6334.48
6334.48,6109.95,8499.05,8970.23,2676.03,2801.95,2764.61,2791.85,0,2,7129.3
7129.3,6334.48,9653.65,9573.1,2708.59,2676.03,3095.8,2968.55,0,2,7797.68
